Carimbo de data/hora,Eixo temático,Título do trabalho,Resumo,Palavra-chave 1,Palavra-chave 2,Palavra-chave 3,Palavra-chave 4,Palavra-chave 5
15/03/2023 12:16:04,Eixo Temático 1 - O Estudante e/ou sua Aprendizagem no contexto das TDIC,1ALFABETIZAÇÃO ATRAVÉS DO ENSINO REMOTO EMERGENCIAL NA PANDEMIA DE COVID-19: UM ESTUDO DE CASO,"Com a chegada do novo coronavírus-COVID-19 e no formato de Distanciamento/Isolamento Social as modificações  também  se  deram  no  âmbito  do  processo  de ensino-aprendizagem,  ou  seja,  do presencial ao online e no formato de Ensino Remoto Emergencial (ERE). O presente artigo é parte de uma pesquisa em umaUniversidade Públicaque aborda Aprendizagens e Tecnologias Digitais. Trata-se de uma pesquisa qualitativa no formato de estudo de casocujo foco foi a alfabetização de um aluno pertencente ao primeiro ano dos anos iniciais de uma escola pública Estadual. O campo empírico foi a interação do aluno nos recursos disponíveis pela escola,Google Meet; Google Classroom, atividades em Google Formulário; o uso do Jamboard; vídeos com jogos de alfabetização no Youtube e Projeto de Aprendizagemonlinee o diário de campo da professora. O referencial teórico que norteou a proposta e a coleta de dados foia epistemologia genética de Piagete as pesquisas deEmília Ferreiro relativas a alfabetização.O estudo apontou que é possível obter a alfabetização de forma online, com o auxílio de  recursos  tecnológicos,  apoio  familiar,  uma  proposta  pedagógica  interativa,  sequência  didática  e planejamento antecipado. ",Alfabetização,Ensino  Remoto  Emergencial,Ensino  Fundamental,Tecnologias  da Informação e Comunicação,ND
15/03/2023 12:18:32,Eixo Temático 1 - O Estudante e/ou sua Aprendizagem no contexto das TDIC,AMEMÓRIA SENSORIAL E AS MUDANÇASCEREBRAISCOM A UTILIZAÇÃO DA TDICPARA A APRENDIZAGEMESCOLAR,"O presente trabalho investigou o impacto cerebral do processo de aprendizagem por meio do estímulo da memória sensorial e do uso de Tecnologias Digitais de Informação e Comunicação (TDIC) a partir do  olhar da neurociência.  A  metodologia utilizada  foi  de  pesquisa bibliográfica  e  as  obras  utilizadas foram  interdisciplinares,  poisa  investigação  buscou  contemplar  a  perspectiva  neurocientífica  e pedagógica.  Por tratar-se de um trabalho resumido, foram destacados os principais pontos do estudo, que ainda é embrionário, e as conclusões, até o momento, direciona para a necessidade de amplitude do  estímulo  da  memória,  para  acelerar  a  aprendizagem,  aumento  do  uso  do  ciberespaço  e  de ferramentas digitais, contudo,  deve sempre  haver uma  concentração na atenção do  estudante,  pois tecnologias conectadas à internet aumentam o estímulo da aprendizagem, mas tendem, também, a ocasionar distrações. Por fim, o trabalho vislumbra, na escola, um espaçopara o desenvolvimento da memória  na sociedade  digital  com um  papel  transformador de  tornar  esse  ambiente  cada  vez  mais abertoecooperativopara o compartilhamento de informações e de conhecimentossem se limitar as quatro paredes, dada as ferramentas de acesso ao mundo.",Memória.,TDIC,Neurociência,Aprendizagem,ND
16/03/2023 13:22:32,Eixo Temático 1 - O Estudante e/ou sua Aprendizagem no contexto das TDIC,ANÁLISE DA ACESSIBILIDADE TECNOLÓGICA DOS ESTUDANTES DE UM INSTITUTO FEDERAL: DESAFIOS PARA IMPLEMENTAÇÃO DO ENSINO REMOTO EMERGENCIAL,"O presente  trabalho tem  como  objetivo principal  apresentar  uma pesquisa sobre  acessibilidade  digital no contexto  da pandemia  que foi realizada  durante  o ano de 2020 em  um campus  do Instituto  Federal  do Rio de  Janeiro  (IFRJ).  A pesquisa foi fundamentada  em um  questionário  aplicado a 700 estudantes  do  Ensino  Médio  Técnico.  A  partir  dessas  respostas  foi  desenvolvida  uma  análise  crítica  acerca  dos aspectos  do acesso às tecnologias digitais, levantando questões  a respeito  da qualidade e formas  como se  deu a  comunicação  entre  professores  e  estudantes  durante  o período  de suspensão  das atividades presenciais.  Apesar  de  69%  dos  participantes  informar  que  possui  pacote  de  dados  ilimitados  para acesso  à internet  por dados móveis,  observou-se  que essa  pode ter  sido umaresposta  equivocada, pois uma parte  considerável  dos estudantes  possuía acesso  ilimitado  apenas à aplicativos  de mensagens  e redes  sociais,  como  costuma  ser  oferecido  em  planos pré-pagos.  Em  relação  às  estratégias  adotadas pelo IFRJ  foram  lançados 6 editais  com oferta  de kit acessibilidade,  sendo apenas 2 desses  editais  com oferta  de tablets.  A implementação  das atividades pedagógicas não presenciais  (APNPs) evidenciou as desigualdades  sociais,   que  se  refletem   nos  aspectos   de  inclusão  digital  e  qualidade  de  ensino aprendizagem.",Acessibilidade digital ,Inclusão digital,Ensino remoto emergencial,Atividades Pedagógicas Não Presenciais ,ND
17/03/2023 11:00:15,Eixo Temático 1 - O Estudante e/ou sua Aprendizagem no contexto das TDIC,ANÁLISE DE DESIGUALDADES EDUCACIONAIS E SOCIAIS NO CONTEXTO PANDÊMICO E DE CULTURA DIGITAL: DECORRÊNCIAS DO ENSINO REMOTO PARA JOVENS DO ENSINO MÉDIO PÚBLICO,"Esta pesquisa busca analisar e compreender as  implicações do ensino remoto, constituído no contexto pandêmico  e  de  cultura  digital, sobre o ensino  médio  público, em  termos   das   desigualdades  educacionais e sociais na região Norte do estado do Tocantins. Esta pesquisa tem fundamentação teórico-metodológica na pesquisa quali-quantitativa de abordagem histórico-dialética. Ela está realizada em seis escolas, em três   municípios do Tocantins. Para tanto, está sendo realizado uma revisão sistemática da literatura sobre a temática, uma pesquisa documental, coleta de dados com observação-participante, entrevistas, aplicação de questionários, com perguntas abertas e fechadas.Espera-se que os dados  contribuam para entender melhor o fenômeno e auxiliarem futuras pesquisas, que indiquem caminhos para orientar políticas educacionais que ajudem a superar dificuldades do ensino remoto e amenizar o agravamento das  desigualdades educacionais.",Ensino Médio,Ensino Remoto ,Desigualdade educacional,Cultura Digital,ND
17/03/2023 11:01:54,Eixo Temático 1 - O Estudante e/ou sua Aprendizagem no contexto das TDIC, ANÁLISE DO DESENVOLVIMENTO EDUCACIONAL EM TEMPOS DE PANDEMIA: ENSINO REMOTO EMERGENCIAL NO IFG ITUMBIARA,"O estudo do desenvolvimento educacional no período pandêmico, mediatizado pelo ensino remoto, se faz importante para o entendimento de satisfação dos discentes e levantamento de pontos negativos a serem melhorados. Assim, neste estudo, foi apresentado uma ação realizada pelo Grupo PET Química para analisar a satisfação, projeção futura e entendimento dos alunos sobre a modalidade remota de estudos que estavam utilizando para darem continuidade às suas aulas, durante o período de isolamento social causado pela pandemia do Covid-19. Para tanto, fez-se uso de um formulário, criado no Google Forms, como ferramenta de coleta de dados para a metodologia de estudo de caso. Os resultados apresentados retratam a insatisfação dos estudantes com o espaço no qual desenvolviam suas atividades acadêmicas durante as aulas remotas, seja por conectividade ou autodisciplina perante a necessidade de adaptação da nova rotina. Além disso, evidenciou-se o aumento das desigualdades de ensino entre estudantes de diferentes realidades socioeconômicas. De forma positiva, podemos apontar os avanços quanto ao uso das tecnologias em sala de aula e como as TICs se mostraram importantes meios para a continuidade da educação, mesmo com os desafios encontrados frente à pandemia.",Desenvolvimento educacional, Ensino remoto,Período pandêmico,ND,ND
17/03/2023 11:06:40,Eixo Temático 1 - O Estudante e/ou sua Aprendizagem no contexto das TDIC,1ANÁLISE DO PERFIL DISCENTE INGRESSANTE EM 2021.1NA EaD DA UFRN,"Este  trabalho  teve  como objetivo  analisar  o  perfil  discente  ingressante  nos  cursos  de  licenciatura  a distância da UFRN no semestre letivo 2021.1.Para isso, foram avaliados os questionários respondidos por 887 discentes no momento do seu cadastro junto à instituição. Os ingressantes têm idade média de 30 anos,a maioria é do gênero feminino (53%), se identifica como como pardo ou mulato (49%), é solteiro e não possui filhos (63%),cursou o ensino fundamental (79%)e médio (87%) em escola pública; reside com os pais (46%) no estado do Rio Grande do Norte (96%). Essas informações são essenciais para  subsidiar a tomada  de  decisão referente  ao  planejamento  das  próximas  ofertas  dos  cursos e replanejamento  das  ações  pontuais  no  que  se  refere  ao  processo  de  ensino  e  aprendizagem, possibilitando  que  se  torne  mais  adequado  e  próximo  das  especificidades  e  necessidades  dos  seus estudantes.Além  disso, proverá informações  que  possam  subsidiar a  implementação0 de  políticas públicas para a educação a distância, considerando a realidade em que seu público-alvo está inserida.",característica,estudante,licenciatura,ensino e aprendizagem,ND
17/03/2023 11:08:01,Eixo Temático 1 - O Estudante e/ou saua Aprendizagem no contexto das TDIC,APONTAMENTOS SOBRE A MEDIAÇÃO PEDAGÓGICA NA CULTURA DIGITAL: UMA BREVE REVISÃO DE LITERATURA,"Este ensaio teórico tem como objetivo trazer uma breve contextualização sobre a mediação pedagógica na cultura digital e refletir sobre aspectos positivos e limitantes que envolvem a temática. Para isso traçamos uma breve conceitualização da temática, ponderamos sua importância e indicamos os aspectos positivos no processo de ensino e aprendizagem. Por outro lado, foram ressaltados alguns aspectos limitantes que dificultam a expansão e aceitação da mediação pedagógica atrelada aos dispositivos tecnológicos digitais no ambiente escolar. E em seguida, fez-se uma breve reflexão da mediação pedagógica no contexto pandêmico. A partir destas análises foi possível identificar que a ausência de processo formativo, inicial e continuado aos professores para o uso das tecnologias digitais oriundo de resistências históricas é o principal dificultador da adoção da mediação pedagógica na cultura digital.",Mediação Pedagógica,"Cultura Digital,",Formação de Professores,ND,ND
17/03/2023 11:10:54,Eixo Temático 1 - O Estudante e/ou saua Aprendizagem no contexto das TDIC,APRENDIZADOS DO ENSINO REMOTO EMERGENCIAL E O RETORNO AO PRESENCIAL: FLEXIBILIZAÇÃO E AUTONOMIA NA FORMAÇÃO DE PROFESSORES,"O ensino não presencial emergencial, provocado pela pandemia de COVID-19 obrigou que disciplinas do curso de licenciatura em música fossem adaptadas ao formato remoto. Essas disciplinas, de caráter prático e vivencial, precisaram ser revistas e replanejadas a fim de que seus conteúdos pudessem ser abordados. Este artigo apresenta o relado de uma experiência, na qual as Trilhas de Aprendizagem, a Sala de aula invertida e os Feedbacks figuraram como metodologias possíveis para o melhor aproveitamento dessas disciplinas. A preocupação em oferecer um ensino flexível, que despertasse a motivação, gerasse autonomia e valorizasse os estudantes como seres humanos foi imperativo e é reflexo do referencial teórico adotado. Autores como Hans-Joaquin Koellreutter, Paulo Freire e Black Boles fundamentaram essas escolhas. São apresentados os resultados dessa ação, a partir da fala dos estudantes, que demonstram que essas metodologias favoreceram a sua aprendizagem e o seu desenvolvimento humano, e fizeram eles se sentirem valorizados. A partir dessa experiência se levantam questionamentos e reflexões para pensar o retorno ao ensino presencial.",Ensino superior,Trilha de aprendizagem,Sala de aula invertida,Feedback,Formação de professores
17/03/2023 11:12:15,Eixo Temático 1 - O Estudante e/ou saua Aprendizagem no contexto das TDIC,APRENDIZAGEM BASEADA EM PROJETOS APLICADA NA MODALIDADE DE EDUCAÇÃO DE JOVENS E ADULTOS: ESTRATÉGIA MOTIVACIONAL E DE TRANSFORMAÇÃO DA SOCIEDADE,"O presente trabalho apresenta um relato de experiência da aplicação da Aprendizagem Baseada em Projetos aplicada de forma interdisciplinar em um Curso Técnico de Guia de Turismo na modalidade de Educação de Jovens e Adultos (PROEJA). O objetivo desta intervenção pedagógica foi de motivar os estudantes a participarem ativamente como co-responsáveis pelo seu processo de aprendizagem, e contribuírem com projetos reais e significativos para a comunidade. Os resultados alcançados no desenvolvimento do produto final e no desenvolvimento de habilidades comportamentais nos estudantes é admirável e animador, principalmente diante da grande dificuldade de utilização de tecnologias educacionais por parte deste público estudantil. Isso evidencia que a Aprendizagem Baseada em Projetos, tem um grande potencial para motivar os estudantes a estudarem; a se envolverem ativamente no processo de aprendizagem; e de desenvolver de forma profunda e prática os conteúdos das disciplinas, alinhados às demandas do mundo real.",PROEJA, Turismo Científico,Informática,ND,ND
17/03/2023 11:14:14,Eixo Temático 1 - O Estudante e/ou saua Aprendizagem no contexto das TDIC,A REALIZAÇÃO DO ESTÁGIO SUPERVISIONADO NA EDUCAÇÃO INFANTIL MEDIADO POR TECNOLOGIAS: O DESAFIO DE ENSINAR E DE APRENDER NO CONTEXTO DO ENSINO REMOTO EMERGENCIAL,"O estudo apresentado neste texto refere-se a uma pesquisa de campo que deu voz à uma turma do curso de Pedagogia PARFOR, que realizou estudos para a disciplina de Estágio Supervisionado tanto de modo presencial quanto por meio do ensino remoto emergencial. O uso de tecnologias digitais na educação permitiu a mediação entre os conhecimentos teórico-práticos em um contexto pandêmico, trazendo desafios para a universidade e para as instituições de educação infantil. Os objetivos da pesquisa foram identificar e contrapor as experiências das acadêmicas com o ensino presencial e o ensino remoto emergencial e relacionar os estudos teórico-práticos desenvolvidos na universidade com a realização do estágio na instituição de Educação Infantil. Via Análise de Conteúdo de Bardin (2016), os dados coletados por meio de questionários foram categorizados, e as análises apresentaram os principais resultados: as acadêmicas compararam os estudos presenciais e remotos com a EaD, distinguindo-os e, dependendo das condições particulares de cada uma, entenderam que a qualidade do modelo presencial supera a das experiências remotas e a distância; o estágio supervisionado enquanto ação prática nas escolas junto das crianças foi muito fragilizado pelas condições impostas pelo contexto emergencial, bem como a vivência com as tecnologias digitais para fins educacionais permitiu uma nova visão sobre os processos de ensino e aprendizagem.",Estágio Supervisionado,Ensino Remoto Emergencial,Educação Infantil,Tecnologias,ND
