eixo tematico,titulo do trabalho,palavrachave 1,palavrachave 2,palavrachave 3,palavrachave 4,palavrachave 5
eixo tematico 1  o estudante eou sua aprendizagem no contexto das tdic,1alfabetizacao atraves do ensino remoto emergencial na pandemia de covid19 um estudo de caso,alfabetizacao,ensino  remoto  emergencial,ensino  fundamental,tecnologias  da informacao e comunicacao,nd
eixo tematico 1  o estudante eou sua aprendizagem no contexto das tdic,amemoria sensorial e as mudancascerebraiscom a utilizacao da tdicpara a aprendizagemescolar,memoria,tdic,neurociencia,aprendizagem,nd
eixo tematico 1  o estudante eou sua aprendizagem no contexto das tdic,analise da acessibilidade tecnologica dos estudantes de um instituto federal desafios para implementacao do ensino remoto emergencial,acessibilidade digital,inclusao digital,ensino remoto emergencial,atividades pedagogicas nao presenciais,nd
eixo tematico 1  o estudante eou sua aprendizagem no contexto das tdic,analise de desigualdades educacionais e sociais no contexto pandemico e de cultura digital decorrencias do ensino remoto para jovens do ensino medio publico,ensino medio,ensino remoto,desigualdade educacional,cultura digital,nd
eixo tematico 1  o estudante eou sua aprendizagem no contexto das tdic,analise do desenvolvimento educacional em tempos de pandemia ensino remoto emergencial no ifg itumbiara,desenvolvimento educacional,ensino remoto,periodo pandemico,nd,nd
eixo tematico 1  o estudante eou sua aprendizagem no contexto das tdic,1analise do perfil discente ingressante em 20211na ead da ufrn,caracteristica,estudante,licenciatura,ensino e aprendizagem,nd
eixo tematico 1  o estudante eou saua aprendizagem no contexto das tdic,apontamentos sobre a mediacao pedagogica na cultura digital uma breve revisao de literatura,mediacao pedagogica,cultura digital,formacao de professores,nd,nd
eixo tematico 1  o estudante eou saua aprendizagem no contexto das tdic,aprendizados do ensino remoto emergencial e o retorno ao presencial flexibilizacao e autonomia na formacao de professores,ensino superior,trilha de aprendizagem,sala de aula invertida,feedback,formacao de professores
eixo tematico 1  o estudante eou saua aprendizagem no contexto das tdic,aprendizagem baseada em projetos aplicada na modalidade de educacao de jovens e adultos estrategia motivacional e de transformacao da sociedade,proeja,turismo cientifico,informatica,nd,nd
eixo tematico 1  o estudante eou saua aprendizagem no contexto das tdic,a realizacao do estagio supervisionado na educacao infantil mediado por tecnologias o desafio de ensinar e de aprender no contexto do ensino remoto emergencial,estagio supervisionado,ensino remoto emergencial,educacao infantil,tecnologias,nd
eixo tematico 1  o estudante eou saua aprendizagem no contexto das tdic,a relevancia do letramento digital no percurso do processo de ensino e aprendizagem na pandemia a realidade de minas gerais,letramento digital,ensino e aprendizagem,pandemia,educacao basica,nd
eixo tematico 1  o estudante eou saua aprendizagem no contexto das tdic,as metodologias de ensino e a autonomia do aluno na ead estudo de caso no curso de administracao publica da universidade estadual de ponta grossa,metodologias ativas de aprendizagem,administracao publica,tdics,nd,nd
eixo tematico 1  o estudante eou saua aprendizagem no contexto das tdic,as redes sociais escolhidas por estudantes do ensino medio,redes sociais,estudantes do ensino medio,ingles,nd,nd
eixo tematico 1  o estudante eou saua aprendizagem no contexto das tdic,as tecnologias hipertextuais e a aprendizagem da leitura e da escrita na escola,escola,leitura,escrita,tecnologias hipertextuais,nd
eixo tematico 1  o estudante eou saua aprendizagem no contexto das tdic,a teoria da distancia transacional em discussao ressignificando as perspectivas de tempo e espaco,distancia transacional,estrategias pedagogicocomunicacionais,univesp,ensino a distancia,nd
eixo tematico 1  o estudante eou saua aprendizagem no contexto das tdic,atividades praticas e ensino de biologia no ensino remoto emergencial,ensino remoto emergencia,biologia atividades praticas,nd,nd,nd
eixo tematico 1  o estudante eou saua aprendizagem no contexto das tdic,atualizacao e aprimoramento do website de um grupo de pesquisa,tecnologia  da   informacao,informatica   em   enfermagem,grupos   de pesquisa,nd,nd
eixo tematico 1  o estudante eou saua aprendizagem no contexto das tdic,avaliar para as aprendizagens em contextos digitais potencialidades e desafios no ambito de cursos de graduacao de engenharia,avaliacao,educacao hibrida,cultura digital,ensino de fisica,nd
eixo tematico 1  o estudante eou saua aprendizagem no contexto das tdic,bbc micro bit laptops e tablets uma proposta metodologica hibrida para o ensino da linguagem musical nos anos iniciais do ensino fundamental,perfect piano,tam tam mini,scratch,bbc microbit,cifra melodica
eixo tematico 1  o estudante eou saua aprendizagem no contexto das tdic,como funciona a midia online relato de um publicitario para alunos dos anos iniciais de historia e letras,educacao,comunicacao,midias sociais,publicidade,tecnologias
eixo tematico 1  o estudante eou saua aprendizagem no contexto das tdic,competencias digitais de academicos do curso de pedagogia,competencias digitais,academicos,pedagogia,nd,nd
eixo tematico 1  o estudante eou saua aprendizagem no contexto das tdic,contribuicoes das tecnologias digitais na aprendizagem da quimica organica durante o ensino remoto emergencial,ensino de quimica,tdic,pandemia,nd,nd
eixo tematico 1  o estudante eou saua aprendizagem no contexto das tdic,cultura steam4girls trajetoria das jovens mulheres no ensino fundamental ii,cultura steam,mulheres nas ciencias,nd,nd,nd
mulheres nas ciencias,desenvolvimento de aplicativo mobile para gamificacao do teste de progresso,aprendizagem,gamificacao,este de progresso,educacao medica,nd
eixo tematico 1  o estudante eou saua aprendizagem no contexto das tdic,diagnostico das midias linguagens metodologias e recursos educacionais mais aceitos entre alunos de cursos tecnicos ead concomitantes ao ensino medio do ifro,design educacional,educacao a distancia,ensino hibrido,tecnologias educacionais,nd
eixo tematico 1  o estudante eou saua aprendizagem no contexto das tdic,ecologia da aprendizagem e cultura digital a transcendencia dos espacos instituidos na formacao no ensino superior,ecologia da aprendizagem,cultura digital,processos de aprendizagem,nd,nd
eixo tematico 1  o estudante eou sua aprendizagem no contexto das tdic,ensino de programacao para estudantes de forma remota durante o isolamento social devido a pandemia de covid19,ensino remoto,tecnologias,aprendizagem,ensino,desafios
eixo tematico 1  o estudante eou sua aprendizagem no contexto das tdic,ensino hibrido temas atuais de ciencias,ensino hibrido,podcast de ciencias,aprendizagem,nd,nd
eixo tematico 1  o estudante eou sua aprendizagem no contexto das tdic,ensino remoto no curso de pedagogia percepcoes dos discentes sobre a formacao
ensino remoto,formacao,percepcao,discente
eixo tematico 1  o estudante eou sua aprendizagem no contexto das tdic,experimentacao de ferramentas digitais de autoria como recursos para educacao profissional relato de experiencia,educacao,tecnologia,digital,nd,nd
eixo tematico 1  o estudante eou sua aprendizagem no contexto das tdic,formacao de professores na educacao a distancia as narrativas dos egressos do curso de pedagogia,formacao de professores,pesquisa narrativa,egressos de pedagogia a distancia,nd,nd
eixo tematico 1  o estudante eou sua aprendizagem no contexto das tdic,formacao de professores no ensino remoto emergencial desafios limitacoes e possibilidades,formacao  de professores,ensino  remoto  emergencial,qualidade  na  educacaosuperior,nd,nd
eixo tematico 1  o estudante eou sua aprendizagem no contexto das tdic,humanizacao das relacoes e dos espacos virtuais no ensino remoto uma experiencia com estudantes de pedagogia,ensino remoto emergencial,tdic,humanizacao,nd,nd
eixo tematico 1  o estudante eou sua aprendizagem no contexto das tdic,jogos didaticos eletronicos e funcoes executivas em escolares reescritura de uma metaavaliacao
metaavaliacao,avaliacao de tecnologia da informacao e comunicacao,nd,nd
eixo tematico 1  o estudante eou sua aprendizagem no contexto das tdic,marcas verbais e naoverbais de motivacao e engajamento em atividade com objeto de leitura gamificado,objeto de leitura gamificado,motivacao e engajamento,prendizagem de leitura,nd,nd
eixo tematico 1  o estudante eou sua aprendizagem no contexto das tdic,minecraft e organizacao espacial a partir da imigracao no brasil,metaverso,ensino fundamental,ciencia humanas,nd,nd
eixo tematico 1  o estudante eou sua aprendizagem no contexto das tdic,modelo pedagogico para construcao de competencias digitais de alunos na educacao a distancia,competencias digitais,educacao a distancia,alunos,modelo pedagogico,nd
eixo tematico 1  o estudante eou sua aprendizagem no contexto das tdic,multiletramentos web 20 e pbl uma contribuicao ao processo de alfabetizacao cientifica em geografia,multiletramentos,alfabetizacao cientifica,ensino de geografia,aprendizagem baseada na resolucao de problemas,web 20
eixo tematico 1  o estudante eou sua aprendizagem no contexto das tdic,nada sera como antes a reinvencao do ensino superior na era da virtualidade  apontamentos a partir de constatacoes empiricas,universidade,virtualidade,ensino,tecnologia,nd
eixo tematico 1  o estudante eou sua aprendizagem no contexto das tdic,objeto de leitura gamificado para alunos do 6 ano do ensino fundamental,gamificacao,objeto de leitura gamificado,aprendizagem de leitura,nd,nd
eixo tematico 1  o estudante eou sua aprendizagem no contexto das tdic,o ensino hibrido no ensino de biologia demandas e propostas no seculo xxi breve revisao bibliografica
ensino hibrido,metodologias ativas,nd,nd
eixo tematico 1  o estudante eou sua aprendizagem no contexto das tdic,o ensino remoto emergencial no colegio de aplicacao da universidade federal de roraimadesafios da educacao basica,tdics,colegio de aplicacao,ensino remoto emergencial,pandemia,nd
eixo tematico 1  o estudante eou sua aprendizagem no contexto das tdic,o professor de matematica e o estudo de fracao entendendo a equivalencia para somar e subtrair,fracao  equivalente,tecnologias,ensino hibrido,aprendizagem,resolucao  de problemas
eixo tematico 1  o estudante eou sua aprendizagem no contexto das tdic,orientacao educacional reinvencao em tempos de pandemia,orientador educacional,tecnologias,covid19,nd,nd
eixo tematico 1  o estudante eou sua aprendizagem no contexto das tdic,orientador educacional alternativas em tempos de pandemia,orientacao educacional,tecnologias,pandemia,nd,nd
eixo tematico 1  o estudante eou sua aprendizagem no contexto das tdic,o desafio da educacao digital no contexto pandemico relatos da universidade estadual de ponta grossa,educacao digital,tecnologia,pandemia,ensino remoto,ead
eixo tematico 1  o estudante eou sua aprendizagem no contexto das tdic,os desafios da escola para a promocao da inclusao digital uma breve revisao de literatura,inclusao digital,educacao e tecnologias,letramento digital,nd,nd
eixo tematico 1  o estudante eou sua aprendizagem no contexto das tdic,os desafios do atendimento educacional especializado aee em tempos de pandemia do covid19 no municipio de uberlandiamg,atendimento   educacional   especializado,tecnologias digitais da informacao e comunicacao,transtorno do espectro do autismo,nd,nd
